status=SPAWNED, pid=43828, available=TRUE, position=83
status=SPAWNED, pid=43829, available=TRUE, position=77
status=SPAWNED, pid=43830, available=TRUE, position=15
status=SPAWNED, pid=43831, available=TRUE, position=93
status=SPAWNED, pid=43832, available=TRUE, position=35
status=BASICMOV, pid=43829, available=FALSE, position=76
status=BASICMOV, pid=43830, available=FALSE, position=25
status=BASICMOV, pid=43831, available=FALSE, position=83
status=BASICMOV, pid=43832, available=FALSE, position=45
status=BASICMOV, pid=43828, available=FALSE, position=84
status=BASICMOV, pid=43831, available=FALSE, position=93
status=BASICMOV, pid=43829, available=FALSE, position=75
status=BASICMOV, pid=43830, available=FALSE, position=35
status=BASICMOV, pid=43828, available=FALSE, position=85
status=BASICMOV, pid=43832, available=FALSE, position=55
status=BASICMOV, pid=43829, available=FALSE, position=65
status=BASICMOV, pid=43830, available=FALSE, position=34
status=BASICMOV, pid=43828, available=FALSE, position=75
status=BASICMOV, pid=43830, available=FALSE, position=33
status=PICKUP, pid=43830, available=FALSE, position=33
status=BASICMOV, pid=43828, available=FALSE, position=76
status=BASICMOV, pid=43830, available=FALSE, position=43
status=BASICMOV, pid=43830, available=FALSE, position=44
status=BASICMOV, pid=43828, available=FALSE, position=77
status=BASICMOV, pid=43828, available=FALSE, position=67
status=BASICMOV, pid=43830, available=FALSE, position=54
status=BASICMOV, pid=43828, available=FALSE, position=68
status=PICKUP, pid=43828, available=FALSE, position=68
status=BASICMOV, pid=43830, available=FALSE, position=64
status=BASICMOV, pid=43830, available=FALSE, position=63
status=BASICMOV, pid=43830, available=FALSE, position=73
status=BASICMOV, pid=43830, available=FALSE, position=83
status=SERVED, pid=43830, available=TRUE, position=83
status=BASICMOV, pid=43830, available=FALSE, position=73
status=BASICMOV, pid=43830, available=FALSE, position=63
